time,open,high,low,close,tick_volume,spread,real_volume,SMA_3,SMA_10,EMA_10,EMA_25,RSI,MACD,Signal,Upper_Band,Lower_Band,ATR,Stochastic,ADX,HA_Close,HA_Open,HA_High,HA_Low
2021-05-24,1881.41,1887.02,1875.17,1881.35,128610,0,0,1880.1233333333332,1856.9210000000003,1858.8522185701909,1825.0187182994482,75.17919141657586,33.83350027074266,28.828262249531964,1903.3731340318895,1747.6488659681104,22.336241497875825,92.69230769230766,44.325030910036936,1881.2375000000002,1879.7649999999999,1887.02,1875.17
2021-05-25,1880.78,1900.21,1872.71,1899.18,121916,0,0,1887.4233333333334,1863.1590000000003,1866.1845424665196,1830.7234322764139,78.78136250119974,35.46111019010573,30.154831837646718,1912.3903092991409,1750.8796907008586,22.85261734808824,99.12866931731666,45.85570312502419,1888.22,1881.38,1900.21,1872.71
2021-05-26,1898.77,1912.74,1890.77,1896.5,122351,0,0,1892.3433333333335,1871.1980000000003,1871.6964438362431,1835.7831682551514,76.95018645509342,35.91327558109174,31.306520586335726,1919.4065534686483,1755.3664465313514,22.76435561327942,84.38010964701355,47.51157621260785,1899.6950000000002,1889.98,1912.74,1889.98
2021-05-27,1896.45,1903.67,1888.28,1896.43,124764,0,0,1897.37,1878.148,1876.193454047835,1840.4483091586014,76.8992556485192,35.74514488923364,32.19424544691531,1923.735204483087,1763.4527955169126,22.026920051951485,84.31278253342315,48.80640067778511,1896.2075,1897.635,1903.67,1888.28
2021-05-28,1897.4,1905.95,1882.27,1903.18,131825,0,0,1898.7033333333336,1884.2099999999998,1881.1000987664104,1845.2738238387092,78.40295011854926,35.826274927701206,32.92065134307249,1926.716798872629,1773.8922011273705,22.192228046756345,90.80503991536024,49.421096234616066,1897.2000000000003,1896.44,1905.95,1882.27
2021-05-31,1903.74,1910.65,1902.14,1906.62,68155,0,0,1902.0766666666666,1888.2069999999999,1885.740080808881,1849.9927604665008,79.1572296165589,35.747320342380135,33.48598514293402,1931.4041720402304,1780.5628279597693,20.82400524208071,94.11368664037693,50.11402179540801,1905.7875000000001,1900.29,1910.65,1900.29
2021-06-01,1907.26,1916.58,1892.37,1899.87,123400,0,0,1903.2233333333334,1891.23,1888.309157025448,1853.8294711998471,73.6510460894216,34.47968582560088,33.68472527946739,1930.9432392568024,1793.082760743197,21.162604717872643,84.50051015675722,49.82012098406592,1904.02,1905.1799999999998,1916.58,1892.37
2021-06-02,1899.65,1909.09,1894.37,1908.66,106790,0,0,1905.05,1895.0810000000001,1892.0093102935482,1858.0472041844744,76.020627201103,33.96210610907383,33.74020144538868,1930.788454832947,1805.3375451670531,20.518344246085384,91.81902696002496,49.547213087819706,1902.9424999999999,1903.565,1909.09,1894.37
2021-06-03,1908.45,1909.64,1865.37,1870.7,132560,0,0,1893.0766666666666,1894.423,1888.1348902401755,1859.020496170284,53.39741298427242,29.114394069891432,32.81503997028923,1928.6869490406007,1812.9870509593993,22.893509821476865,37.20229947987966,46.98781621137141,1888.54,1904.1550000000002,1909.64,1865.37
2021-06-04,1871.33,1896.14,1855.5,1891.51,127130,0,0,1890.29,1895.4,1888.7485465601435,1861.5196887725701,60.43836698126358,27.22885778757336,31.697803533746054,1929.327215941662,1818.4127840583383,24.668158839329188,61.04118104118108,44.002279482894245,1878.6200000000001,1889.575,1896.14,1855.5
